휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,,데이터갱신구분,,업태구분명,위생업태명,Latitude,Longitude
,,,3.3,142-771,서울특별시 강북구 수유동 205 수유벽산아파트,"서울특별시 강북구 한천로155길 43, 수유벽산아파트 상가동 1층 (수유동)",1042,이마트24 수유벽산점,,I,,편의점,,37.6423798,127.0189888
,,222478312,40,130-840,서울특별시 동대문구 장안동 337-20,"서울특별시 동대문구 답십리로72길 24, 1층 (장안동)",2637,서울김밥,,I,,기타 휴게음식점,,37.57107684,127.0739965
,,,29.7,137-881,서울특별시 서초구 서초동 1673-10 소망빌딩 1층,"서울특별시 서초구 서초대로 310, 소망빌딩 1층 (서초동)",6634,떠기다방 교대역점,,I,,커피숍,,37.49399319,127.0155401
,,,26.76,158-070,서울특별시 양천구 신정동 323-12 양지빌딩 ll,"서울특별시 양천구 목동동로 73, 양지빌딩 ll 103호 (신정동)",8093,카페공오일,,I,,커피숍,,37.51578346,126.8628356
,,,3,135-894,서울특별시 강남구 신사동 610-4,"서울특별시 강남구 압구정로30길 18, 지상1층 (신사동)",6022,세븐일레븐 신사증권점,,I,,편의점,,37.52631799,127.0290334
,,,8.26,135-730,서울특별시 강남구 삼성동 159-7 현대백화점,"서울특별시 강남구 테헤란로 517, 현대백화점 무역센터점 지하1층 (삼성동)",6164,빠삭(BBASAK),,I,,백화점,,37.5085953,127.0597185
,,,25.3,110-111,서울특별시 종로구 관철동 45-1 대왕빌딩,"서울특별시 종로구 우정국로2길 21, 대왕빌딩 지하1층 일부호 (관철동)",3189,옵티멈존PC카페 종각역점,,I,,기타 휴게음식점,,37.56970661,126.984281
,,,25,139-845,서울특별시 노원구 월계동 383-27,"서울특별시 노원구 광운로 60, 1층 (월계동)",1893,빠네뚜,,U,,패스트푸드,,37.62265447,127.0599903
,,,19.83,136-858,서울특별시 성북구 종암동 16-22,"서울특별시 성북구 종암로 94, 1층 (종암동)",2797,준성이네,,I,,일반조리판매,,37.59876495,127.0348679
,,,13.02,151-895,서울특별시 관악구 신림동 1519-22,"서울특별시 관악구 신림로17길 20, 1층 (신림동)",8813,담다,,U,,일반조리판매,,37.46992265,126.9365409
,,,6.6,157-220,서울특별시 강서구 방화동 876 마곡우림필유아파트 104호,"서울특별시 강서구 양천로28길 29, 상가동 1층 104호 (방화동, 마곡우림필유아파트)",7593,간식상회 마곡방화점,,I,,일반조리판매,,37.57181931,126.8213262
,,,27.5,138-808,서울특별시 송파구 가락동 142 가락풍림아파트,"서울특별시 송파구 중대로16길 15, 가락풍림아파트상가 1층 101호 (가락동)",5825,우리동네 반찬가게,,U,,기타 휴게음식점,,37.49558368,127.1264074
,,,3.3,100-747,서울특별시 중구 충무로1가 52-5 신세계백화점건물,"서울특별시 중구 소공로 63, 신세계백화점건물 지1층 (충무로1가)",4530,감동푸드,,U,,기타 휴게음식점,,37.56092263,126.9811387
,,,25.66,133-801,서울특별시 성동구 금호동1가 514,"서울특별시 성동구 금호로 148-1, 1층 (금호동1가)",4727,대단한 탕후루 성동금호점,,U,,기타 휴게음식점,,37.55435575,127.0205467
,,,58.3,139-920,서울특별시 노원구 중계동 361 롯데마트,"서울특별시 노원구 노원로 330, 롯데마트 지하1층 (중계동)",1746,파파존스 롯데마트 중계점,,I,,일반조리판매,,37.6465484,127.07109
,,,3.3,136-719,서울특별시 성북구 길음동 20-1 현대백화점미아점,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",2730,온누리 농특산,,U,,백화점,,37.60837445,127.0287246
,,,33.11,135-270,서울특별시 강남구 도곡동 527-3 도곡렉슬상가,"서울특별시 강남구 선릉로 225, 도곡렉슬상가 지하1층 B104호 (도곡동)",6276,방배김밥 한티역점,,U,,일반조리판매,,37.49534085,127.052652
,,,3.3,136-150,서울특별시 성북구 석관동 376 우이천 다목적 광장,,,한백,,U,,기타 휴게음식점,,37.61434766,127.0689155
,,,202.38,100-809,서울특별시 중구 명동2가 4-2,"서울특별시 중구 명동10길 35-20, 2층 (명동2가)",4537,설빙 명동2호점,,U,,다방,,37.56293666,126.9858135
,,,26,153-861,서울특별시 금천구 시흥동 940-27,"서울특별시 금천구 시흥대로30길 19, 1층 103호 (시흥동)",8651,헤세드,,I,,커피숍,,37.44319616,126.9044684
,,,3.3,130-851,서울특별시 동대문구 전농동 128-101,"서울특별시 동대문구 전농로37길 78, 1층 (전농동)",2557,지에스25 (전농샛별점),,I,,편의점,,37.5818479,127.0511029
,,,3.3,134-858,서울특별시 강동구 암사동 452 진주빌딩,"서울특별시 강동구 고덕로 96, 진주빌딩 1층 103,104호 (암사동)",5255,씨유 암사진주점,,I,,편의점,,37.55454294,127.1358704
,,,56,134-868,서울특별시 강동구 천호동 338-15,"서울특별시 강동구 구천면로 145, 2층 205호 (천호동)",5246,카페숲안에,,I,,커피숍,,37.5424181,127.1213092
,,,3.3,137-841,서울특별시 서초구 방배동 897-1 1층,"서울특별시 서초구 서초대로26길 3, 1층 (방배동)",6664,씨유 내방역점,,I,,편의점,,37.48765932,126.9945538
,,,59.3,135-951,서울특별시 강남구 청담동 39-5,"서울특별시 강남구 학동로55길 22, 지상1층, 2층 (청담동)",6065,에그서울 익스프레스,,I,,커피숍,,37.51898373,127.0416909
,,,31.29,135-903,서울특별시 강남구 압구정동 455 현대아파트,"서울특별시 강남구 압구정로29길 68, 주구센타 제2호 지상1층 101호 (압구정동, 현대아파트)",6004,보리원 압구정점,,I,,기타 휴게음식점,,37.53197601,127.028563
,,,204.3,100-851,서울특별시 중구 을지로6가 18-12,"서울특별시 중구 장충단로 275, 5층 9호 (을지로6가)",4563,리빙크리에이터,,I,,커피숍,,37.56881408,127.0087524
,,,26.45,140-892,서울특별시 용산구 한남동 683-141,"서울특별시 용산구 이태원로 244, 3층 (한남동)",4400,로우커피스탠드(RAW COFFEE STAND),,I,,커피숍,,37.53644494,127.0004985
,,,0,152-862,서울특별시 구로구 구로동 573 NC백화점,"서울특별시 구로구 구로중앙로 152, NC백화점 지하 1층 (구로동)",8292,족발요리집 NC신구로점,,I,,백화점,,37.50117652,126.8828393
,,,408.67,121-818,서울특별시 마포구 동교동 173-14,"서울특별시 마포구 양화로 192, 1,2층 (동교동)",4056,스타벅스 홍대동교점,,I,,커피숍,,37.55832574,126.9262574
,,,45.46,133-020,서울특별시 성동구 하왕십리동 1070 센트라스,"서울특별시 성동구 왕십리로 410, I동 1층 142호 (하왕십리동, 센트라스)",4701,프리미엄 과일 신선도,,I,,기타 휴게음식점,,37.56611045,127.0276465
,,,,135-724,서울특별시 강남구 압구정동 429 현대백화점본점,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",6001,더프리미엄(한시적),,U,,백화점,,37.52733429,127.02747
,,,40,135-897,서울특별시 강남구 신사동 661-1,"서울특별시 강남구 압구정로 338, 지상1층 3호 (신사동)",6018,메가엠지씨커피 압구정로데오역점,,U,,커피숍,,37.5279214,127.0389012
,,,54.87,140-861,서울특별시 용산구 이태원동 567,"서울특별시 용산구 녹사평대로 216-1, 1,2층 (이태원동)",4345,뚜호(TTUHO),,U,,커피숍,,37.5369717,126.9870788
,,,,158-724,서울특별시 양천구 목동 916 현대하이페리온,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",7998,(주)갑성,,U,,일반조리판매,,37.52685436,126.8750347
,,,16.8,158-050,서울특별시 양천구 목동 917-6 행복한백화점(킴스클럽) 지하 1층,"서울특별시 양천구 목동동로 309, 행복한백화점(킴스클럽) 지하 1층 (목동)",7997,반도스커피(행복한백화점점),,U,,커피숍,,37.52937345,126.8760837
,,02  511 4641,67.9,135-896,서울특별시 강남구 신사동 639-5,"서울특별시 강남구 압구정로46길 4, 지상1층 (신사동)",6017,(주)예스초콜렛,,U,,일반조리판매,,37.52841025,127.0366434
,,,6.6,100-747,서울특별시 중구 충무로1가 52-5 신세계백화점건물,"서울특별시 중구 소공로 63, 신세계백화점건물 지1층 (충무로1가)",4530,(주)갑성,,U,,백화점,,37.56092263,126.9811387
,,232748112,3.3,137-807,서울특별시 서초구 반포동 612-55,"서울특별시 서초구 서래로5길 96, 1층 (반포동)",6575,세븐일레븐 반포서래마을점,,U,,편의점,,37.49775963,126.9928289
,,,47.65,157-862,서울특별시 강서구 염창동 261 염창역한강투웨니퍼스트 101동 101호,"서울특별시 강서구 공항대로81길 36, 염창역한강투웨니퍼스트 101동 101호 (염창동)",7557,네임유어모먼트,,I,,기타 휴게음식점,,37.54888068,126.8767389
,,,52.9,136-818,서울특별시 성북구 석관동 246-10,"서울특별시 성북구 돌곶이로22길 3, 1층 (석관동)",2783,이디야 돌곶이역점,,I,,커피숍,,37.61020754,127.058103
